exercicio,grupo,gif_key,gif_url,alt_group,observacoes
Abdominal infra (elevação de pernas),Abdômen,leg_raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lying-Leg-Raise.gif,,
Prancha,Abdômen,plank,https://fitnessprogramer.com/wp-content/uploads/2021/02/plank.gif,,
Rosca alternada com halteres,Bíceps,alt_db_curl,https://fitnessprogramer.com/wp-content/uploads/2022/06/Seated-dumbbell-alternating-curl.gif,,
Rosca direta com barra,Bíceps,barbell_curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Curl.gif,,
Pulldown,Costas,straight_pulldown,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Straight-Arm-Pulldown.gif,,
Puxada alta aberta,Costas,lat_pulldown_open,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lat-Pulldown.gif,,
Remada baixa,Costas,seated_row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Cable-Row.gif,,
Cadeira abdutora,Glúteo,hip_abduction,https://fitnessprogramer.com/wp-content/uploads/2021/02/HiP-ABDUCTION-MACHINE.gif,,
Coice e abdução na polia,Glúteo,cable_kickback,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Hip-Extension.gif,,
Coice na polia,Glúteo,cable_kickback,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Hip-Extension.gif,,
Elevação pélvica (Hip Thrust),Glúteo,hip_thrust,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hip-Thrust.gif,,
Cadeira Adutora (Hip Adduction),Glúteo/Adutor,hip_adduction,https://fitnessprogramer.com/wp-content/uploads/2021/02/HIP-ADDUCTION-MACHINE.gif,,
Desenvolvimento com halteres,Ombro,shoulder_press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Shoulder-Press.gif,,
Elevação lateral com halteres,Ombro,lateral_raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lateral-Raise.gif,,
Elevação de panturrilha sentado,Panturrilha,calf_seated,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Seated-Calf-Raise.gif,,
Crucifixo Máquina (Pec Deck Fly),Peito,pec_deck,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pec-Deck-Fly.gif,,
Supino Reto na Barra,Peito,supino_reto_barra,,,
Afundo (Split Squat),Pernas,split_squat,https://fitnessprogramer.com/wp-content/uploads/2022/12/ATG-Split-Squat.gif,Afundo (Split Squat),
Afundo no Smith (Split Squat),Pernas,split_squat,https://fitnessprogramer.com/wp-content/uploads/2022/12/ATG-Split-Squat.gif,Afundo (Split Squat),
Agachamento Livre (Barbell Squat),Pernas,squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/BARBELL-SQUAT.gif,,
Agachamento livre,Pernas,squat,https://fitnessprogramer.com/wp-content/uploads/2021/02/BARBELL-SQUAT.gif,,
Búlgaro,Pernas,bulgaro,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Bulgarian-Split-Squat.gif,,
Leg Press 45°,Pernas,leg_press,https://fitnessprogramer.com/wp-content/uploads/2015/11/Leg-Press.gif,,
Leg press,Pernas,leg_press,https://fitnessprogramer.com/wp-content/uploads/2015/11/Leg-Press.gif,,
Cadeira flexora,Posterior,leg_curl_seated,https://fitnessprogramer.com/wp-content/uploads/2015/11/Seated-Leg-Curl.gif,Mesa flexora,Alternativa para Mesa flexora
Mesa flexora,Posterior,leg_curl_lying,https://fitnessprogramer.com/wp-content/uploads/2015/11/Leg-Curl.gif,Mesa flexora,
Stiff unilateral,Posterior,stiff,https://fitnessprogramer.com/wp-content/uploads/2022/01/Stiff-Leg-Deadlift.gif,,
Cadeira extensora,Quadríceps,leg_extension,https://fitnessprogramer.com/wp-content/uploads/2021/02/LEG-EXTENSION.gif,,
Tríceps Testa com Barra (Lying Barbell Triceps Extension),Tríceps,triceps_barbell_lying,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Triceps-Extension.gif,,
Tríceps na Polia (Triceps Pushdown),Tríceps,triceps_pushdown,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pushdown.gif,,
Supino Reto com Halteres,Peito,supino_reto_com_halteres,https://i.pinimg.com/originals/f6/76/36/f676360771a996af5c7f59f8a4a88052.gif,,
